연도,날짜,팀,G,투구수,IP,타자수,피안타,피홈런,볼넷,삼진,실점,자책,lgIP,lgERA,fip_const,home_stadium,FinalPF,ERA,RA9,WHIP,K/9,BB/9,HR/9,K%,BB%,FIP,ERA+,ERA-,IP_O
2026,2026-03-28,KIA,6.0,164.0,8.1,39.0,8.0,0.0,6.0,8.0,7.0,6.0,92.0,5.869565217391305,4.445652173913044,광주,0.9987402594586288,6.48,7.56,1.68,8.639999999999999,6.48,0.0,0.2051282051282051,0.1538461538461538,4.685652173913044,90.46574677610826,110.53907535576737,8.333333333333334
2026,2026-03-29,KIA,12.0,329.0,16.1,79.0,16.0,3.0,14.0,15.0,18.0,17.0,180.0,6.0,4.011111111111111,광주,0.9987402594586288,9.36734693877551,9.918367346938776,1.836734693877551,8.26530612244898,7.714285714285714,1.653061224489796,0.189873417721519,0.1772151898734177,7.133560090702948,63.971699837913086,156.3191227579896,16.333333333333332
2026,2026-03-30,KIA,12.0,329.0,16.1,79.0,16.0,3.0,14.0,15.0,18.0,17.0,180.0,6.0,4.011111111111111,광주,0.9987402594586288,9.36734693877551,9.918367346938776,1.836734693877551,8.26530612244898,7.714285714285714,1.653061224489796,0.189873417721519,0.1772151898734177,7.133560090702948,63.971699837913086,156.3191227579896,16.333333333333332
2026,2026-03-31,KIA,16.0,461.0,25.1,113.0,21.0,3.0,17.0,21.0,20.0,19.0,272.0,5.525735294117647,3.871323529411765,광주,0.9987402594586288,6.75,7.105263157894737,1.5,7.460526315789474,6.039473684210527,1.0657894736842106,0.1858407079646017,0.1504424778761062,5.766060371517028,81.75974902753688,122.30957309607167,25.33333333333333
2026,2026-04-01,KIA,21.0,636.0,33.1,156.0,29.0,3.0,27.0,26.0,27.0,26.0,359.3333333333333,5.760667903525047,4.043599257884972,광주,0.9987402594586288,7.02,7.289999999999999,1.68,7.02,7.289999999999999,0.8099999999999999,0.1666666666666666,0.173076923076923,6.0835992578849725,81.9575510967226,122.01438264301544,33.333333333333336
2026,2026-04-02,KIA,25.0,751.0,41.1,190.0,34.0,3.0,32.0,31.0,29.0,28.0,445.3333333333333,5.719311377245509,4.077844311377246,광주,0.9987402594586288,6.096774193548387,6.314516129032258,1.596774193548387,6.75,6.967741935483871,0.6532258064516129,0.1631578947368421,0.1684210526315789,5.843973343635311,93.69078486947654,106.73408290827427,41.333333333333336
2026,2026-04-03,KIA,30.0,931.0,50.1,230.0,42.0,3.0,40.0,40.0,34.0,32.0,534.3333333333334,5.592014971927635,3.980661260137242,광주,0.9987402594586288,5.7218543046357615,6.079470198675496,1.629139072847682,7.152317880794701,7.152317880794701,0.5364238410596026,0.1739130434782608,0.1739130434782608,5.550197683978301,97.60785664354654,102.4507692707456,50.333333333333336
2026,2026-04-04,KIA,35.0,1131.0,59.1,276.0,52.0,6.0,49.0,49.0,40.0,38.0,624.3333333333334,5.477843032568073,3.8873465029364658,광주,0.9987402594586288,5.764044943820225,6.067415730337078,1.7022471910112358,7.432584269662921,7.432584269662921,0.9101123595505618,0.1775362318840579,0.1775362318840579,6.027795941138713,94.91513524007786,105.35727494572969,59.333333333333336
2026,2026-04-05,KIA,39.0,1248.0,68.1,308.0,56.0,6.0,49.0,55.0,40.0,38.0,711.3333333333334,5.200093720712277,3.7085285848172447,광주,0.9987402594586288,5.004878048780488,5.2682926829268295,1.5365853658536586,7.2439024390243905,6.453658536585366,0.7902439024390244,0.1785714285714285,0.1590909090909091,5.391455414085538,103.76978505970482,96.36716501095589,68.33333333333333
2026,2026-04-06,KIA,39.0,1248.0,68.1,308.0,56.0,6.0,49.0,55.0,40.0,38.0,711.3333333333334,5.200093720712277,3.7085285848172447,광주,0.9987402594586288,5.004878048780488,5.2682926829268295,1.5365853658536586,7.2439024390243905,6.453658536585366,0.7902439024390244,0.1785714285714285,0.1590909090909091,5.391455414085538,103.76978505970482,96.36716501095589,68.33333333333333
2026,2026-04-07,KIA,45.0,1415.0,77.1,350.0,67.0,8.0,53.0,60.0,50.0,48.0,801.3333333333334,5.031613976705491,3.697587354409318,광주,0.9987402594586288,5.586206896551724,5.81896551724138,1.5517241379310345,6.982758620689656,6.168103448275862,0.9310344827586208,0.1714285714285714,0.1514285714285714,5.5467252854438005,89.9587773332764,111.16202661305988,77.33333333333333
2026,2026-04-08,KIA,50.0,1591.0,86.1,394.0,80.0,9.0,58.0,61.0,55.0,53.0,888.3333333333334,4.984615384615385,3.578611632270169,광주,0.9987402594586288,5.525096525096526,5.733590733590734,1.5984555984555986,6.359073359073359,6.046332046332046,0.9382239382239382,0.1548223350253807,0.1472081218274111,5.536140589799127,90.10419890916674,110.9826192459789,86.33333333333333
