date,gameId,Time,Away,Away_R,Home_R,Home,Stadium,Review_URL,ELO_pre_away,ELO_pre_home,away_win_prob,home_win_prob,elo_post_away,elo_post_home,away_starter,home_starter,away_starter_rgs,home_starter_rgs,away_team_rgs,home_team_rgs,away_adj,home_adj,elo_match_away,elo_match_home
2026-04-02,20260402OBSS0,18:30,두산,2.0,5.0,삼성,대구,20260402OBSS0,1494.7266,1498.7266,0.4899,0.5101,1492.0733,1501.38,최민석,이승현,49.7667,45.487,50.4382,51.2715,-2.7533,-23.7167,1491.9734,1499.0099
2026-04-02,20260402WOSK0,18:30,키움,1.0,11.0,SSG,문학,20260402WOSK0,1495.6222,1503.1977,0.4597,0.5403,1491.3086,1507.5112,정현우,최민준,42.2889,47.025,46.216,51.8028,-16.101,-19.5889,1479.5211,1507.6088
2026-04-03,20260403HHOB0,18:30,한화,11.0,6.0,두산,잠실,20260403HHOB0,1495.5314,1492.0733,0.4502,0.5498,1499.3794,1488.2253,에르난데스,플렉센,49.1792,48.3792,54.0089,49.6706,-19.8019,-5.2947,1474.2995,1509.0196
2026-04-03,20260403LGWO0,18:30,LG,2.0,5.0,키움,고척,20260403LGWO0,1495.9758,1491.3086,0.4138,0.5862,1493.7432,1493.5412,치리노스,알칸타라,48.9533,53.9263,50.8422,45.7728,-7.7444,33.4295,1487.4683,1547.9646
2026-04-03,20260403NCHT0,18:30,NC,5.0,2.0,KIA,광주,20260403NCHT0,1507.6809,1494.9767,0.4486,0.5514,1510.6795,1491.9781,구창모,네일,54.3667,62.8963,48.9311,51.4244,22.2858,47.0346,1528.4018,1564.2583
2026-04-03,20260403SKLT0,18:30,SSG,17.0,2.0,롯데,사직,20260403SKLT0,1507.5112,1498.8659,0.4609,0.5391,1513.3636,1493.0135,화이트,로드리게스,52.0,52.4792,51.2022,49.015,3.2709,14.2031,1508.825,1536.0509
2026-04-03,20260403SSKT0,18:30,삼성,2.0,1.0,KT,수원,20260403SSKT0,1501.38,1514.6963,0.4977,0.5023,1502.7297,1513.3465,후라도,사우어,56.68,48.0792,51.0372,51.2272,23.1354,-12.907,1522.793,1524.4189
2026-04-04,20260404HHOB0,14:00,한화,9.0,3.0,두산,잠실,20260404HHOB0,1499.3794,1488.2253,0.4638,0.5362,1503.4693,1484.1354,왕옌청,곽빈,51.5792,50.2526,54.0089,49.6706,-9.9619,2.3865,1489.4175,1514.6118
2026-04-04,20260404LGWO0,17:00,LG,6.0,4.0,키움,고척,20260404LGWO0,1493.7432,1493.5412,0.4816,0.5184,1495.9648,1491.3196,임찬규,하영민,52.7741,45.0286,50.8422,45.7728,7.9206,-3.0512,1501.6638,1514.4899
2026-04-04,20260404NCHT0,17:00,NC,6.0,0.0,KIA,광주,20260404NCHT0,1510.6795,1491.9781,0.5832,0.4168,1513.8694,1488.7882,테일러,이의리,52.0792,39.04,48.9311,51.4244,12.907,-50.7762,1523.5865,1465.2019
2026-04-04,20260404SKLT0,17:00,SSG,7.0,6.0,롯데,사직,20260404SKLT0,1513.3636,1493.0135,0.4723,0.5277,1514.8035,1491.5736,김건우,비슬리,51.2538,52.8792,51.2022,49.015,0.2117,15.8431,1513.5753,1532.8566
2026-04-04,20260404SSKT0,17:00,삼성,8.0,6.0,KT,수원,20260404SSKT0,1502.7297,1513.3465,0.4245,0.5755,1505.1835,1510.8927,최원태,소형준,47.85,52.4833,51.0372,51.2272,-13.0676,5.1501,1489.6621,1542.4965
2026-04-05,20260405HHOB0,14:00,한화,0.0,8.0,두산,잠실,20260405HHOB0,1503.4693,1484.1354,0.3966,0.6034,1500.1,1487.5047,황준서,잭로그,46.9417,59.2379,54.0089,49.6706,-28.9756,39.2262,1474.4937,1547.3616
2026-04-05,20260405LGWO0,14:00,LG,6.0,5.0,키움,고척,20260405LGWO0,1495.9648,1491.3196,0.4362,0.5638,1497.492,1489.7923,톨허스트,와일스,49.7,50.7792,50.8422,45.7728,-4.6831,20.5262,1491.2817,1535.8458
2026-04-05,20260405NCHT0,14:00,NC,0.0,3.0,KIA,광주,20260405NCHT0,1513.8694,1488.7882,0.4669,0.5331,1511.3738,1491.2838,토다,올러,51.2792,59.6615,48.9311,51.4244,9.627,33.7721,1523.4964,1546.5603
2026-04-05,20260405SKLT0,14:00,SSG,4.0,3.0,롯데,사직,20260405SKLT0,1514.8035,1491.5736,0.5042,0.4958,1516.158,1490.2192,베니지아노,박세웅,51.3792,48.2857,51.2022,49.015,0.7255,-2.9901,1515.529,1512.5836
2026-04-05,20260405SSKT0,14:00,삼성,0.0,2.0,KT,수원,20260405SSKT0,1505.1835,1510.8927,0.4305,0.5695,1503.3342,1512.742,오러클린,보쉴리,48.2792,53.0792,51.0372,51.2272,-11.308,7.593,1493.8755,1542.4857
2026-04-07,20260407HHSK0,18:30,한화,6.0,2.0,SSG,문학,20260407HHSK0,1500.1,1516.158,0.4701,0.5299,1503.4019,1512.8561,류현진,타케다,55.4385,48.1792,54.0089,51.2022,5.8612,-12.3945,1507.3134,1528.1063
2026-04-07,20260407KTLT0,18:30,KT,7.0,3.0,롯데,사직,20260407KTLT0,1512.742,1490.2192,0.5,0.5,1515.913,1487.0481,고영표,나균안,52.9308,49.9,51.2272,49.015,6.9845,3.6285,1520.1309,1520.1477
2026-04-07,20260407LGNC0,18:30,LG,2.0,0.0,NC,창원,20260407LGNC0,1497.492,1511.3738,0.4452,0.5548,1499.8541,1509.0117,송승기,버하겐,52.7889,50.8792,50.8422,48.9311,7.9813,7.987,1505.8863,1544.096
2026-04-07,20260407SSHT0,18:30,삼성,10.0,3.0,KIA,광주,20260407SSHT0,1503.3342,1491.2838,0.4722,0.5278,1507.6379,1486.9801,양창섭,양현종,44.9667,46.7333,51.0372,51.4244,-24.8893,-19.2336,1479.0309,1498.3503
2026-04-07,20260407WOOB0,18:30,키움,5.0,2.0,두산,잠실,20260407WOOB0,1489.7923,1487.5047,0.5296,0.4704,1492.338,1484.959,배동현,최승용,52.8792,46.2652,45.7728,49.6706,29.1362,-13.9619,1520.4655,1499.8428
